VehicleID,EngineSize,Cylinders,FuelType,Weight,DriveType,CityMPG,HighwayMPG,CombinedMPG,PetrolConsumptionL_100km
47,2.2,4,Petrol,5992,Front-wheel Drive,14,47,28,8.19
48,3.1,8,Petrol,2963,Rear-wheel Drive,15,39,25,9.61
49,3.2,6,Petrol,4263,All-wheel Drive,18,23,20,11.02
50,1.7,4,Petrol,3382,Front-wheel Drive,13,23,17,12.95
51,4.9,4,Petrol,2851,Front-wheel Drive,16,24,19,12.79
52,4.1,4,Petrol,3504,Front-wheel Drive,22,34,27,8.5
53,4.8,5,Petrol,3307,All-wheel Drive,19,21,19,12.75
54,4.6,6,Petrol,5178,Rear-wheel Drive,21,30,25,9.83
55,3.4,6,Petrol,3836,Front-wheel Drive,19,42,29,7.79
56,4.7,4,Hybrid,2482,Front-wheel Drive,20,22,20,11.47
57,1.4,6,Petrol,3047,Front-wheel Drive,20,30,24,9.49
58,1.8,4,Petrol,5303,Front-wheel Drive,31,22,26,8.35
59,1.2,4,Diesel,3067,All-wheel Drive,15,30,21,10.37
60,2.3,4,Petrol,4433,Rear-wheel Drive,15,48,29,8.04
61,2.6,8,Diesel,2918,All-wheel Drive,29,21,25,8.74
62,2.1,6,Diesel,4528,Front-wheel Drive,15,41,26,8.96
63,4.3,4,Diesel,4125,Front-wheel Drive,21,39,29,7.65
64,2.4,5,Diesel,4365,Rear-wheel Drive,32,39,35,6.28
65,2.1,8,Petrol,4190,Rear-wheel Drive,23,34,27,8.55
66,3.2,4,Diesel,5999,Front-wheel Drive,27,27,27,9.57
67,1.6,4,Petrol,5798,Rear-wheel Drive,34,47,39,6.81
68,4.2,8,Petrol,2515,Front-wheel Drive,32,21,27,9.24
69,1.3,6,Hybrid,3235,Front-wheel Drive,28,42,34,6.96
70,4.9,4,Petrol,4047,Rear-wheel Drive,19,37,27,7.8
71,4.1,4,Hybrid,3917,Front-wheel Drive,19,41,28,8.98
72,1.8,4,Petrol,3822,All-wheel Drive,16,48,30,7.5
73,1.0,4,Petrol,3850,All-wheel Drive,19,40,28,9.19
74,4.3,8,Petrol,3734,Front-wheel Drive,23,27,24,9.43
75,3.8,4,Diesel,3536,All-wheel Drive,14,41,26,9.71
76,3.9,6,Petrol,4372,Rear-wheel Drive,34,31,32,7.73
77,4.1,4,Petrol,3549,All-wheel Drive,31,42,35,5.65
78,1.3,4,Petrol,3245,All-wheel Drive,20,25,22,11.16
79,2.4,3,Diesel,4533,All-wheel Drive,16,43,28,8.44
80,1.5,6,Petrol,3814,Front-wheel Drive,29,21,25,8.75
81,4.5,4,Diesel,5526,Rear-wheel Drive,27,31,28,8.19
82,3.5,5,Petrol,3131,All-wheel Drive,20,42,29,9.3
83,2.3,3,Petrol,4534,Front-wheel Drive,29,40,33,6.12
84,1.3,4,Petrol,2369,All-wheel Drive,34,49,40,5.91
85,2.2,3,Hybrid,4677,All-wheel Drive,12,31,20,11.45
86,2.3,4,Petrol,4959,All-wheel Drive,16,32,23,10.53
87,3.9,5,Petrol,2392,Rear-wheel Drive,13,28,19,12.91
88,3.6,4,Diesel,2118,Front-wheel Drive,28,34,30,7.97
89,4.5,5,Petrol,5580,Rear-wheel Drive,30,30,30,8.32
90,2.9,4,Diesel,3773,All-wheel Drive,27,28,27,8.21
91,1.5,4,Petrol,2353,Rear-wheel Drive,20,43,30,7.78
92,3.9,4,Petrol,2765,Front-wheel Drive,23,27,24,10.65
93,4.0,4,Petrol,3950,Front-wheel Drive,19,49,32,7.02
94,3.2,6,Petrol,5004,Rear-wheel Drive,23,39,30,7.4
95,4.1,5,Diesel,3580,Front-wheel Drive,13,47,28,8.12
96,3.0,4,Diesel,3661,Rear-wheel Drive,32,43,36,6.8
97,3.1,4,Petrol,3670,Rear-wheel Drive,21,37,28,8.4
98,2.7,6,Hybrid,5384,Front-wheel Drive,21,30,25,9.76
99,1.1,6,Petrol,3087,Rear-wheel Drive,11,24,16,14.31
100,1.4,5,Petrol,4305,All-wheel Drive,15,23,18,12.31
101,1.1,4,Diesel,5077,All-wheel Drive,14,40,25,9.07
102,3.5,4,Diesel,5947,Front-wheel Drive,28,24,26,8.34
103,2.3,8,Petrol,3340,Rear-wheel Drive,30,40,34,7.01
104,3.0,6,Diesel,5489,All-wheel Drive,24,26,24,9.7
105,4.6,4,Petrol,4064,Front-wheel Drive,19,36,26,9.1
106,2.0,6,Diesel,2281,Front-wheel Drive,16,48,30,7.97
107,2.6,6,Diesel,5915,Rear-wheel Drive,28,37,32,7.06
108,4.0,4,Petrol,5475,Front-wheel Drive,17,42,28,8.73
109,1.9,4,Petrol,4600,Rear-wheel Drive,24,20,22,10.78
110,1.3,4,Diesel,4489,All-wheel Drive,32,35,33,6.84
111,2.2,4,Diesel,4413,Front-wheel Drive,13,28,19,12.59
112,1.6,6,Petrol,5426,Front-wheel Drive,22,31,26,9.25
113,4.7,4,Petrol,4402,Front-wheel Drive,14,38,24,10.93
114,4.2,6,Hybrid,5381,Front-wheel Drive,20,30,24,10.1
115,3.5,8,Petrol,3436,Rear-wheel Drive,25,25,25,9.95
116,4.5,3,Petrol,2815,Front-wheel Drive,29,23,26,8.83
117,4.2,4,Petrol,2997,All-wheel Drive,27,35,30,7.38
118,1.7,6,Petrol,5934,All-wheel Drive,24,22,23,10.52
119,4.6,6,Hybrid,2231,Front-wheel Drive,34,27,30,7.47
120,3.2,6,Diesel,3484,Front-wheel Drive,10,35,21,10.96
121,4.2,4,Petrol,5161,Front-wheel Drive,17,48,30,7.12
122,4.6,4,Diesel,5221,Front-wheel Drive,13,21,16,14.71
123,2.3,4,Diesel,5655,Front-wheel Drive,18,32,24,9.66
124,1.4,8,Petrol,5943,Rear-wheel Drive,28,38,32,7.21
125,1.9,4,Petrol,3478,Rear-wheel Drive,16,43,28,8.8
126,2.7,8,Diesel,2388,All-wheel Drive,24,35,28,8.1
127,4.3,4,Petrol,3331,All-wheel Drive,12,38,23,10.27
128,4.4,8,Petrol,3280,Front-wheel Drive,21,27,23,9.96
129,1.0,5,Petrol,5628,All-wheel Drive,32,42,36,5.86
130,3.0,4,Hybrid,4421,Front-wheel Drive,11,21,15,15.79
131,2.7,5,Petrol,5623,Front-wheel Drive,28,20,24,10.02
132,1.9,4,Hybrid,4239,Rear-wheel Drive,33,36,34,7.31
133,1.5,4,Petrol,5594,Rear-wheel Drive,16,37,25,9.64
134,2.4,4,Diesel,3405,Rear-wheel Drive,20,26,22,10.46
135,4.8,4,Petrol,5507,All-wheel Drive,28,28,28,9.33
136,2.3,4,Petrol,3887,All-wheel Drive,17,42,28,8.39
137,3.1,6,Petrol,4182,Front-wheel Drive,22,22,22,10.72
138,3.8,5,Petrol,2178,Rear-wheel Drive,18,43,29,7.54
139,2.5,4,Diesel,5292,All-wheel Drive,11,43,25,9.08
140,4.9,6,Diesel,4269,All-wheel Drive,27,44,34,7.51
141,4.8,5,Petrol,5988,Rear-wheel Drive,24,30,26,9.3
142,2.0,8,Hybrid,2550,All-wheel Drive,32,47,38,5.63
143,3.0,5,Petrol,4031,Front-wheel Drive,20,35,26,8.47
144,2.2,4,Petrol,2555,Front-wheel Drive,33,48,39,6.31
145,2.1,4,Petrol,3336,All-wheel Drive,24,28,25,9.13
146,1.1,5,Petrol,2808,Rear-wheel Drive,30,31,30,8.62
147,3.4,3,Diesel,5366,Front-wheel Drive,27,33,29,9.72
148,3.0,3,Petrol,3683,Front-wheel Drive,23,44,32,7.44
149,1.2,4,Petrol,3557,Front-wheel Drive,30,23,26,9.4
150,2.1,4,Petrol,2156,Rear-wheel Drive,28,45,35,7.05
151,4.6,4,Petrol,3837,Front-wheel Drive,22,23,22,10.47
152,2.0,4,Petrol,3475,Front-wheel Drive,34,30,32,6.96
153,1.6,4,Petrol,4050,Front-wheel Drive,25,21,23,9.31
154,3.0,5,Petrol,2200,Front-wheel Drive,11,43,25,9.8
155,4.9,4,Diesel,5460,Front-wheel Drive,34,37,35,6.59
156,2.0,4,Petrol,5895,Front-wheel Drive,11,22,15,15.17
157,3.7,3,Petrol,3346,Rear-wheel Drive,26,44,34,6.68
158,4.0,3,Petrol,2344,Rear-wheel Drive,31,21,26,8.86
159,2.0,4,Hybrid,4463,Front-wheel Drive,31,20,26,8.51
160,3.9,4,Petrol,4144,Rear-wheel Drive,29,24,26,8.52
161,2.5,4,Hybrid,4001,All-wheel Drive,27,26,26,9.14
162,3.5,5,Hybrid,2620,Front-wheel Drive,19,39,28,7.97
163,3.5,4,Diesel,4787,All-wheel Drive,21,23,21,10.74
164,3.1,4,Petrol,3777,Front-wheel Drive,12,46,27,8.45
165,1.4,4,Petrol,5880,Front-wheel Drive,15,22,18,11.96
166,4.3,5,Petrol,4588,Front-wheel Drive,29,25,27,7.93
167,2.3,6,Diesel,3382,Rear-wheel Drive,14,31,21,10.69
168,1.7,6,Diesel,2878,Front-wheel Drive,34,48,40,6.68
169,1.2,4,Hybrid,3132,Rear-wheel Drive,30,35,32,7.8
170,3.4,4,Diesel,5521,All-wheel Drive,17,27,21,11.21
171,3.7,4,Petrol,4570,Front-wheel Drive,27,30,28,8.83
172,1.1,6,Petrol,2954,All-wheel Drive,25,32,28,8.83
173,3.0,3,Petrol,4142,Front-wheel Drive,23,33,27,7.95
174,1.9,8,Petrol,2131,All-wheel Drive,15,46,28,7.68
175,3.6,5,Diesel,2604,All-wheel Drive,20,37,27,8.37
176,1.7,5,Hybrid,2565,Front-wheel Drive,15,41,26,8.95
177,3.8,3,Petrol,5313,Rear-wheel Drive,14,27,19,11.58
178,2.5,5,Diesel,3400,Front-wheel Drive,24,20,22,10.97
179,4.7,4,Diesel,5266,Front-wheel Drive,15,23,18,13.2
180,1.6,4,Petrol,2257,All-wheel Drive,30,36,32,7.87
181,2.4,4,Petrol,5939,Rear-wheel Drive,25,49,35,6.37
182,1.5,6,Diesel,4893,All-wheel Drive,27,39,32,6.85
183,4.7,4,Petrol,4351,Rear-wheel Drive,30,49,38,7.27
184,4.5,4,Petrol,4548,Front-wheel Drive,10,46,26,8.68
185,2.0,3,Petrol,4627,Rear-wheel Drive,12,44,26,8.69
186,3.6,6,Hybrid,5883,Front-wheel Drive,32,41,36,6.21
187,4.3,6,Petrol,4237,Front-wheel Drive,29,25,27,9.09
188,3.2,5,Diesel,3663,Front-wheel Drive,33,24,28,8.79
189,3.1,4,Diesel,3885,All-wheel Drive,12,33,21,11.02
190,2.0,4,Diesel,2338,Front-wheel Drive,16,38,25,9.95
191,1.4,4,Petrol,4066,Front-wheel Drive,23,33,27,9.9
192,4.6,4,Diesel,3707,Front-wheel Drive,27,21,24,9.47
193,4.6,8,Petrol,4462,Rear-wheel Drive,33,28,30,6.9
194,3.5,4,Petrol,4109,Front-wheel Drive,24,44,33,7.02
195,2.4,4,Hybrid,2910,Front-wheel Drive,22,26,23,10.39
196,2.4,4,Petrol,5996,Front-wheel Drive,28,37,32,7.53
197,3.9,6,Diesel,4114,Rear-wheel Drive,31,39,34,6.47
198,4.6,4,Petrol,2722,Rear-wheel Drive,11,30,19,12.25
199,4.5,4,Petrol,2853,Front-wheel Drive,16,27,20,11.98
200,4.1,5,Hybrid,2174,Front-wheel Drive,22,45,32,6.87
201,3.6,4,Diesel,5923,All-wheel Drive,13,41,25,9.71
202,1.3,6,Petrol,3404,Rear-wheel Drive,15,40,26,8.43
203,1.6,4,Hybrid,2518,Rear-wheel Drive,27,46,35,7.07
204,4.6,6,Diesel,5011,Rear-wheel Drive,28,29,28,8.25
205,3.4,3,Petrol,2896,Front-wheel Drive,24,37,29,9.12
206,1.0,3,Diesel,2232,Front-wheel Drive,12,36,22,10.51
207,1.4,6,Petrol,4758,Rear-wheel Drive,29,36,32,7.78
208,3.7,4,Petrol,2533,All-wheel Drive,26,20,23,10.19
209,1.0,4,Petrol,4788,Rear-wheel Drive,25,46,34,7.44
210,1.6,4,Petrol,2824,Rear-wheel Drive,22,41,30,8.53
211,3.2,5,Petrol,5421,All-wheel Drive,31,23,27,8.78
212,3.8,4,Diesel,2124,Rear-wheel Drive,31,30,30,7.85
213,3.6,8,Diesel,5656,All-wheel Drive,29,28,28,8.95
214,1.9,8,Petrol,2697,All-wheel Drive,17,28,21,11.6
215,3.8,5,Diesel,5866,Rear-wheel Drive,30,22,26,8.2
216,1.9,4,Petrol,3061,Rear-wheel Drive,23,25,23,10.73
217,2.3,4,Diesel,2247,All-wheel Drive,13,25,18,13.99
218,4.0,5,Petrol,4006,Rear-wheel Drive,16,29,21,11.8
219,3.6,4,Diesel,3919,Rear-wheel Drive,19,29,23,10.02
220,4.4,4,Hybrid,3611,All-wheel Drive,24,36,29,7.3
221,3.6,3,Diesel,2140,Rear-wheel Drive,25,34,29,7.65
222,3.3,3,Hybrid,2096,Rear-wheel Drive,17,44,29,8.48
223,1.4,4,Petrol,3678,Front-wheel Drive,11,23,16,13.78
224,2.5,4,Diesel,5663,Rear-wheel Drive,26,41,32,7.97
225,2.1,6,Petrol,5327,All-wheel Drive,15,29,21,12.08
226,2.0,4,Petrol,3377,Rear-wheel Drive,25,47,34,7.11
227,4.9,4,Diesel,4025,All-wheel Drive,11,27,18,13.57
228,2.6,3,Diesel,5059,Front-wheel Drive,33,20,27,8.54
229,4.6,4,Petrol,4522,Front-wheel Drive,30,43,35,6.66
230,3.5,4,Petrol,4863,Rear-wheel Drive,27,41,33,7.04
231,4.2,5,Petrol,3550,Front-wheel Drive,20,36,27,8.49
232,3.0,8,Petrol,3890,Front-wheel Drive,21,31,25,9.7
233,3.3,4,Petrol,4017,Front-wheel Drive,14,31,21,11.81
234,3.0,4,Petrol,2807,Rear-wheel Drive,11,44,25,9.06
235,1.8,4,Petrol,4845,All-wheel Drive,31,32,31,7.54
236,3.9,8,Hybrid,5439,Front-wheel Drive,33,44,37,6.46
237,2.1,6,Diesel,2534,Front-wheel Drive,27,45,35,6.59
238,1.1,6,Petrol,4312,All-wheel Drive,31,33,31,7.56
239,3.6,4,Hybrid,2671,All-wheel Drive,15,27,20,11.32
240,1.7,8,Diesel,5874,All-wheel Drive,10,33,20,11.76
241,4.8,4,Petrol,2304,Front-wheel Drive,18,26,21,11.28
242,4.8,3,Petrol,5679,Rear-wheel Drive,24,36,29,7.99
243,4.7,6,Petrol,4476,Front-wheel Drive,17,30,22,10.95
244,2.5,8,Petrol,2783,Rear-wheel Drive,23,20,21,11.11
245,1.1,3,Petrol,3311,Rear-wheel Drive,13,27,19,11.88
246,4.7,4,Petrol,4840,Rear-wheel Drive,16,32,23,10.75
247,2.7,3,Petrol,5933,Rear-wheel Drive,29,45,36,6.93
248,4.9,4,Diesel,3316,All-wheel Drive,17,43,28,8.6
249,4.9,4,Petrol,2036,Front-wheel Drive,19,36,26,9.96
250,4.4,8,Diesel,5746,Front-wheel Drive,27,43,34,5.97
251,2.2,5,Petrol,2300,All-wheel Drive,27,43,34,6.69
252,2.5,6,Hybrid,2135,All-wheel Drive,28,31,29,7.43
253,4.4,6,Petrol,4535,Front-wheel Drive,13,45,27,9.64
254,2.3,4,Hybrid,5312,Front-wheel Drive,22,35,27,9.35
255,1.7,6,Diesel,2174,Front-wheel Drive,15,29,21,11.31
256,3.2,4,Diesel,4851,Rear-wheel Drive,30,48,38,6.3
257,4.7,4,Diesel,4677,Front-wheel Drive,22,35,27,8.15
258,3.8,4,Petrol,5032,All-wheel Drive,32,49,39,6.12
259,3.3,4,Hybrid,4385,Rear-wheel Drive,31,47,38,5.59
260,1.4,6,Petrol,4406,All-wheel Drive,25,22,23,11.1
261,3.5,8,Petrol,5977,Front-wheel Drive,29,20,24,10.13
262,5.0,4,Petrol,4304,Front-wheel Drive,19,38,27,9.37
263,1.6,6,Petrol,5065,All-wheel Drive,18,43,29,7.55
264,3.1,3,Diesel,5523,Front-wheel Drive,16,49,30,7.99
265,4.5,6,Hybrid,3241,Front-wheel Drive,26,27,26,8.47
266,4.0,4,Petrol,4250,Rear-wheel Drive,33,35,33,6.77
267,3.8,3,Hybrid,4702,Rear-wheel Drive,29,47,37,7.07
268,3.8,4,Petrol,4302,Front-wheel Drive,16,34,24,9.73
269,2.4,5,Petrol,5167,Rear-wheel Drive,11,26,17,13.62
270,2.2,4,Petrol,5790,Front-wheel Drive,28,21,24,10.02
271,4.2,8,Diesel,3371,Front-wheel Drive,10,32,19,13.34
272,4.2,3,Petrol,5670,All-wheel Drive,11,24,16,14.97
273,4.5,8,Petrol,2130,Front-wheel Drive,14,29,20,12.17
274,4.7,6,Petrol,2626,All-wheel Drive,27,27,27,8.61
275,3.0,4,Petrol,2287,Rear-wheel Drive,15,32,22,10.61
276,3.0,4,Diesel,3790,Front-wheel Drive,15,38,25,8.29
277,4.2,6,Petrol,4707,All-wheel Drive,31,25,28,7.62
278,3.6,5,Petrol,4103,Rear-wheel Drive,25,37,30,8.77
279,3.8,5,Petrol,4047,Rear-wheel Drive,25,27,25,9.67
280,4.2,4,Petrol,4381,Front-wheel Drive,12,28,19,12.72
281,4.6,4,Petrol,3634,Front-wheel Drive,12,36,22,10.49
282,2.4,8,Petrol,3895,All-wheel Drive,32,23,27,8.75
283,2.5,4,Diesel,4857,All-wheel Drive,13,41,25,9.7
284,1.4,4,Petrol,4888,All-wheel Drive,15,49,30,8.52
285,3.3,4,Petrol,3595,Front-wheel Drive,33,37,34,7.51
286,1.1,6,Petrol,5255,Front-wheel Drive,12,25,17,13.81
287,2.9,6,Petrol,2686,All-wheel Drive,34,30,32,7.76
288,3.2,4,Petrol,4711,Front-wheel Drive,18,42,28,8.45
289,2.1,3,Petrol,2808,Front-wheel Drive,12,41,25,9.65
290,3.4,3,Petrol,2003,All-wheel Drive,15,29,21,11.77
291,1.1,4,Diesel,3611,Front-wheel Drive,30,45,36,6.95
292,1.1,4,Petrol,4482,Front-wheel Drive,29,30,29,7.89
293,4.3,8,Diesel,2983,Front-wheel Drive,33,27,30,8.17
294,2.4,4,Petrol,3536,Front-wheel Drive,18,40,27,9.7
295,1.5,4,Petrol,2781,Front-wheel Drive,24,22,23,9.49
296,3.1,6,Diesel,3417,Rear-wheel Drive,18,21,19,12.38
297,4.1,4,Petrol,5936,Front-wheel Drive,14,37,24,9.3
298,1.9,4,Petrol,3187,Front-wheel Drive,30,21,25,9.48
299,3.5,3,Diesel,3833,All-wheel Drive,25,45,34,7.3
300,1.3,4,Diesel,2994,All-wheel Drive,12,31,20,11.45
301,1.2,8,Hybrid,3401,All-wheel Drive,18,24,20,11.3
302,3.1,4,Diesel,4095,All-wheel Drive,26,45,34,7.7
303,3.2,4,Diesel,3553,Rear-wheel Drive,12,23,16,14.91
304,3.5,5,Petrol,4648,Front-wheel Drive,16,35,24,10.32
305,3.9,8,Petrol,3355,Front-wheel Drive,16,33,23,10.67
306,4.9,4,Petrol,4875,Front-wheel Drive,30,21,25,8.97
307,3.1,4,Petrol,5227,All-wheel Drive,15,40,26,9.56
308,2.3,8,Petrol,4740,Rear-wheel Drive,29,26,27,8.44
309,4.2,4,Diesel,5570,All-wheel Drive,17,40,27,8.36
310,2.1,6,Petrol,3032,Front-wheel Drive,13,30,20,12.27
311,2.8,5,Diesel,4199,Rear-wheel Drive,24,43,32,6.64
312,1.3,5,Petrol,2659,All-wheel Drive,15,31,22,10.14
313,1.1,4,Petrol,3497,Front-wheel Drive,25,41,32,7.11
314,4.9,4,Petrol,2964,Rear-wheel Drive,14,48,29,7.27
315,4.3,5,Petrol,4074,Front-wheel Drive,21,44,31,7.62
316,3.8,4,Petrol,2987,Front-wheel Drive,23,45,32,7.09
317,2.6,4,Diesel,2612,All-wheel Drive,15,24,19,12.51
318,1.7,4,Petrol,5270,Rear-wheel Drive,12,43,25,10.35
319,1.6,3,Petrol,4130,All-wheel Drive,28,35,31,6.98
320,2.0,8,Diesel,5125,Front-wheel Drive,19,49,32,6.65
321,3.2,4,Petrol,3877,Front-wheel Drive,16,41,27,8.48
322,3.9,8,Petrol,5665,Front-wheel Drive,22,26,23,9.81
323,3.6,4,Petrol,5214,All-wheel Drive,10,47,26,9.05
324,2.1,4,Petrol,3276,All-wheel Drive,10,27,17,14.65
325,4.8,4,Diesel,4144,Front-wheel Drive,26,23,24,10.7
326,4.0,6,Diesel,2870,All-wheel Drive,31,23,27,8.45
327,3.2,6,Diesel,5506,Front-wheel Drive,13,46,27,8.24
328,3.4,4,Petrol,3476,Front-wheel Drive,23,25,23,9.77
329,2.7,8,Diesel,5623,All-wheel Drive,15,21,17,14.02
330,2.0,4,Petrol,2228,All-wheel Drive,23,28,25,9.39
331,2.4,5,Petrol,3018,Front-wheel Drive,24,47,34,6.96
332,4.0,8,Petrol,3220,Front-wheel Drive,10,27,17,13.57
333,1.1,6,Diesel,5556,All-wheel Drive,29,37,32,7.43
334,1.5,8,Diesel,3194,Front-wheel Drive,25,47,34,7.9
335,1.2,4,Diesel,4879,All-wheel Drive,13,31,21,11.85
336,1.2,4,Diesel,3926,Rear-wheel Drive,11,35,21,12.39
337,4.4,4,Petrol,4561,Rear-wheel Drive,10,49,27,8.76
338,3.8,4,Petrol,5357,Rear-wheel Drive,22,20,21,10.61
339,2.9,6,Diesel,4544,Rear-wheel Drive,25,45,34,5.87
340,1.4,4,Diesel,4506,Front-wheel Drive,17,39,26,9.35
341,3.0,5,Diesel,5635,Front-wheel Drive,31,49,39,5.31
342,2.9,4,Petrol,5940,Rear-wheel Drive,13,46,27,9.59
343,1.7,4,Diesel,3638,Rear-wheel Drive,11,23,16,14.71
344,2.7,5,Petrol,5104,Rear-wheel Drive,22,33,26,8.91
345,2.6,4,Diesel,2776,Front-wheel Drive,14,37,24,9.79
346,3.5,6,Petrol,3546,Rear-wheel Drive,34,24,29,8.23
347,3.5,4,Hybrid,3403,Front-wheel Drive,32,47,38,6.65
348,1.2,6,Petrol,3611,Front-wheel Drive,29,22,25,9.37
349,2.5,3,Diesel,5977,All-wheel Drive,30,38,33,7.22
350,3.5,4,Petrol,3011,All-wheel Drive,33,31,32,7.62
351,3.0,5,Petrol,2053,Rear-wheel Drive,22,45,32,7.45
352,4.4,6,Petrol,4378,Rear-wheel Drive,14,47,28,7.64
353,3.6,4,Diesel,4144,Rear-wheel Drive,25,38,30,7.59
354,1.7,4,Petrol,2504,All-wheel Drive,15,39,25,9.96
355,1.3,4,Petrol,2147,All-wheel Drive,25,30,27,9.58
356,3.6,4,Hybrid,2516,Front-wheel Drive,31,40,35,7.53
357,1.1,6,Diesel,5566,Front-wheel Drive,33,39,35,7.0
358,3.3,6,Petrol,4327,Front-wheel Drive,22,28,24,9.59
359,4.8,4,Petrol,2415,Front-wheel Drive,20,39,28,9.09
360,3.3,4,Petrol,4037,Rear-wheel Drive,30,46,37,6.19
361,2.6,6,Diesel,5358,Front-wheel Drive,10,42,24,9.56
362,3.6,4,Diesel,5177,Front-wheel Drive,13,45,27,8.93
363,2.8,5,Diesel,2555,Front-wheel Drive,12,46,27,7.5
364,3.2,3,Petrol,2205,All-wheel Drive,27,24,25,9.43
365,4.8,5,Diesel,3938,Front-wheel Drive,32,29,30,7.87
366,2.5,4,Petrol,3001,Front-wheel Drive,25,28,26,8.98
367,4.8,6,Petrol,5863,Front-wheel Drive,22,44,31,7.51
368,4.6,4,Diesel,2117,Front-wheel Drive,22,32,26,9.8
369,1.8,4,Petrol,4527,All-wheel Drive,16,48,30,7.03
370,1.3,6,Petrol,5851,Front-wheel Drive,33,48,39,6.25
371,1.4,3,Diesel,5761,Rear-wheel Drive,24,27,25,9.73
372,1.1,4,Petrol,4900,Rear-wheel Drive,24,41,31,8.41
373,1.4,4,Petrol,3394,Rear-wheel Drive,14,32,22,10.86
374,3.7,4,Diesel,4275,Rear-wheel Drive,26,47,35,6.98
375,1.3,8,Hybrid,3304,Rear-wheel Drive,31,46,37,6.35
376,2.3,6,Diesel,3458,All-wheel Drive,31,41,35,6.88
377,4.4,3,Petrol,3140,All-wheel Drive,20,47,32,7.36
378,1.1,6,Petrol,4701,Rear-wheel Drive,33,37,34,6.32
379,4.3,4,Petrol,3607,Rear-wheel Drive,22,42,31,7.74
380,2.1,8,Diesel,2540,Rear-wheel Drive,19,28,23,10.35
381,1.5,4,Petrol,3048,All-wheel Drive,24,28,25,9.12
382,3.8,4,Diesel,4134,Rear-wheel Drive,11,21,15,15.81
383,3.5,4,Petrol,3210,Rear-wheel Drive,20,44,30,8.49
