HouseID,Price,SquareFeet,Bedrooms,Bathrooms,GarageSize,YearBuilt,LotSize,Stories,Fireplaces,Pool,Basement,RoofType,HeatingType,Cooling,Neighborhood,Condition,Renovated,DistanceToCityCenter,SchoolRating,Age
43,492400.0,2163,5,3.2,0,2005,8882,2,2,0,0,Shingle,Radiant,1,Urban,Good,0,4.3,4,20
44,568100.0,2278,5,2.2,2,2011,14683,1,0,0,1,Shingle,HeatPump,1,Urban,Good,0,26.1,9,14
45,693200.0,3356,4,1.3,1,1962,10658,1,0,1,1,Shingle,Baseboard,1,Suburban,Excellent,0,2.4,8,63
46,418300.0,1575,4,1.5,1,1995,11150,1,0,0,1,Metal,ForcedAir,1,Urban,Very Good,0,2.9,3,30
47,996600.0,4814,2,3.4,3,2003,10423,1,0,0,1,Tile,HeatPump,1,Urban,Excellent,0,4.2,10,22
48,228600.0,834,1,1.8,3,1958,11980,1,2,1,0,Shingle,Baseboard,1,Suburban,Poor,1,3.4,3,67
49,724600.0,3952,5,1.8,0,1952,17522,1,0,0,1,Flat,Baseboard,1,Urban,Good,1,19.2,1,73
50,548600.0,2755,6,3.8,0,1972,8527,3,1,0,1,Metal,Radiant,1,Urban,Good,0,13.2,1,53
51,542000.0,2385,4,3.0,3,1961,18969,2,1,0,1,Flat,HeatPump,1,Suburban,Excellent,1,24.6,2,64
52,929900.0,4743,5,1.3,3,1990,16194,2,0,0,1,Flat,HeatPump,1,Urban,Poor,1,22.4,9,35
53,745200.0,3873,1,1.4,3,1993,4400,1,2,0,1,Tile,Radiant,0,Suburban,Poor,0,10.0,9,32
54,392100.0,1821,3,1.8,0,2007,17139,1,0,0,0,Flat,Baseboard,1,Urban,Poor,0,9.6,2,18
55,789500.0,4261,1,2.8,3,1960,2098,1,2,1,1,Flat,Baseboard,1,Urban,Fair,0,1.3,9,65
56,673300.0,3413,5,3.3,0,1968,3910,1,2,0,1,Metal,Baseboard,1,Suburban,Poor,1,23.4,3,57
57,883700.0,4643,5,1.8,1,2008,11418,3,0,0,1,Shingle,Baseboard,1,Urban,Good,0,27.6,1,17
58,547400.0,2300,2,3.6,1,2022,3187,2,1,0,0,Tile,ForcedAir,1,Urban,Fair,0,10.4,4,3
59,322200.0,961,5,1.3,0,1986,10478,2,2,0,1,Shingle,Baseboard,1,Urban,Poor,0,11.4,10,39
60,514100.0,2781,4,1.6,0,1959,4018,1,0,0,1,Metal,HeatPump,1,Urban,Poor,0,10.0,2,66
61,525400.0,1795,6,3.9,0,2022,6763,1,1,0,1,Metal,HeatPump,1,Urban,Good,1,20.9,3,3
62,744000.0,4142,2,1.4,0,1982,14352,1,2,0,1,Tile,Radiant,1,Urban,Very Good,0,20.5,3,43
63,870600.0,4598,5,3.7,2,1969,12398,2,2,0,0,Tile,Baseboard,1,Suburban,Very Good,0,20.3,3,56
64,474800.0,2075,1,3.1,1,1993,4163,3,2,0,1,Shingle,ForcedAir,1,Suburban,Good,1,2.6,1,32
65,367300.0,1816,5,1.2,1,1962,5111,2,1,0,0,Shingle,ForcedAir,1,Urban,Poor,0,13.7,2,63
66,326000.0,1137,1,2.5,2,2012,15963,1,0,0,0,Flat,HeatPump,0,Suburban,Good,0,8.9,4,13
67,385800.0,1678,1,2.6,3,1963,16283,2,0,0,1,Metal,Baseboard,1,Urban,Good,0,3.9,7,62
68,546000.0,1876,5,3.8,0,2022,15146,3,2,0,0,Shingle,HeatPump,1,Urban,Excellent,1,4.2,5,3
69,927200.0,4793,1,2.3,0,2003,7741,1,1,0,1,Tile,HeatPump,1,Suburban,Very Good,0,14.2,10,22
70,407500.0,1179,6,2.3,3,1991,6944,1,1,0,1,Metal,ForcedAir,1,Urban,Fair,1,9.2,7,34
71,360700.0,1292,3,1.3,1,1987,18883,1,0,0,1,Tile,Radiant,0,Urban,Good,0,20.9,3,38
72,593200.0,2862,2,2.9,2,2021,3688,1,2,0,0,Metal,Radiant,1,Urban,Fair,0,22.0,6,4
73,890300.0,4684,5,1.6,0,1985,13869,2,2,0,1,Flat,Baseboard,1,Suburban,Fair,0,8.7,3,40
74,303400.0,864,3,1.2,1,1958,18009,2,0,0,0,Metal,Baseboard,1,Suburban,Very Good,1,6.4,5,67
75,641500.0,3368,1,4.0,1,1954,18743,2,0,0,1,Metal,Radiant,1,Urban,Excellent,0,9.5,4,71
76,573300.0,2827,1,1.8,1,1964,6163,1,1,0,0,Shingle,Baseboard,1,Urban,Fair,1,21.6,7,61
77,682400.0,3495,2,1.4,2,1973,5574,1,1,0,0,Shingle,HeatPump,1,Urban,Fair,1,11.5,3,52
78,488800.0,2295,3,3.1,2,2013,18992,1,0,1,0,Metal,Radiant,1,Urban,Poor,1,10.1,3,12
79,389000.0,1191,3,3.5,2,1997,16770,1,0,0,1,Tile,ForcedAir,0,Rural,Fair,1,11.7,7,28
80,846600.0,4361,5,1.2,2,1992,8156,1,2,0,0,Metal,Radiant,1,Urban,Good,1,22.9,2,33
81,662200.0,3078,1,1.3,2,1988,10912,1,2,1,0,Tile,HeatPump,1,Rural,Very Good,0,20.4,6,37
82,744200.0,3899,4,1.3,2,1974,18442,2,2,1,1,Flat,Radiant,1,Rural,Poor,0,28.5,10,51
83,356600.0,1000,5,1.1,3,1954,19976,1,1,0,0,Shingle,Radiant,1,Urban,Good,1,16.5,10,71
84,760000.0,3904,5,3.0,1,2009,6789,2,1,0,1,Metal,HeatPump,1,Rural,Good,1,21.0,3,16
85,652500.0,3254,5,2.8,1,1956,3831,1,2,0,1,Tile,HeatPump,0,Urban,Good,1,13.1,3,69
86,726300.0,4445,2,3.0,3,1967,17709,3,0,0,0,Metal,Baseboard,1,Urban,Fair,0,28.5,2,58
87,361400.0,1604,2,2.5,0,1955,13363,3,2,0,1,Shingle,ForcedAir,1,Suburban,Poor,0,7.5,5,70
88,724000.0,3531,5,3.5,3,1961,17646,3,1,0,1,Metal,HeatPump,0,Suburban,Fair,0,28.2,9,64
89,757200.0,3573,6,2.6,0,1982,10460,1,1,0,0,Shingle,Radiant,1,Urban,Good,1,12.1,2,43
90,522200.0,2370,4,3.8,0,1970,2496,2,0,0,1,Shingle,ForcedAir,1,Rural,Good,0,7.5,8,55
91,771500.0,3490,3,2.5,3,2007,7175,1,2,0,0,Tile,HeatPump,1,Suburban,Excellent,0,20.0,6,18
92,890100.0,4640,3,3.4,3,1991,14589,2,1,0,1,Flat,ForcedAir,1,Urban,Good,1,9.6,1,34
93,444900.0,1828,1,2.2,2,1995,2769,1,0,0,1,Shingle,ForcedAir,1,Suburban,Fair,1,5.3,3,30
94,269800.0,1302,3,2.3,3,1952,13061,1,1,0,1,Flat,ForcedAir,1,Suburban,Poor,0,15.5,1,73
95,447100.0,1670,3,3.5,2,2006,2591,2,2,0,1,Metal,Radiant,1,Suburban,Good,0,20.4,7,19
96,377000.0,1006,4,1.3,3,2002,17819,1,2,0,1,Shingle,Baseboard,0,Suburban,Good,1,10.2,5,23
97,528500.0,2284,3,2.7,3,2011,19769,3,0,0,0,Shingle,Baseboard,1,Urban,Good,0,21.9,2,14
98,367500.0,1663,4,3.2,0,1962,11860,1,0,0,0,Metal,ForcedAir,1,Rural,Poor,0,24.8,7,63
99,725200.0,3590,2,3.3,3,2000,15840,2,1,0,0,Tile,Radiant,1,Rural,Good,0,6.5,4,25
100,408900.0,1363,4,2.8,0,1968,14435,1,1,0,1,Tile,Baseboard,0,Urban,Excellent,1,28.9,7,57
101,910800.0,4991,2,2.3,2,2008,6689,1,0,0,0,Tile,HeatPump,1,Urban,Good,0,11.7,4,17
102,550500.0,2557,4,1.8,3,2011,19813,1,2,0,0,Tile,Radiant,1,Suburban,Fair,0,10.4,10,14
103,530200.0,2478,5,3.7,2,1986,7940,1,1,0,0,Flat,HeatPump,1,Suburban,Very Good,0,21.4,1,39
104,803100.0,4042,6,2.1,3,1964,5751,1,2,0,1,Shingle,Radiant,0,Suburban,Good,1,27.8,8,61
105,514900.0,1859,2,3.4,3,2019,19326,1,1,0,1,Tile,HeatPump,1,Suburban,Good,1,10.3,5,6
106,556100.0,2522,2,1.1,1,1961,18841,1,2,0,1,Shingle,HeatPump,1,Rural,Good,1,19.4,7,64
107,800800.0,4114,3,1.7,3,1999,14496,1,2,0,1,Tile,ForcedAir,1,Suburban,Good,0,29.9,3,26
108,778100.0,3957,2,2.0,0,1996,13631,2,1,0,0,Shingle,ForcedAir,1,Urban,Excellent,0,5.5,3,29
109,730300.0,3425,4,3.0,2,1965,8938,2,0,1,1,Metal,HeatPump,1,Suburban,Good,0,10.6,2,60
110,749300.0,3529,5,2.0,1,1965,11500,2,2,0,1,Tile,ForcedAir,1,Suburban,Very Good,1,11.4,7,60
111,532900.0,2397,5,1.1,1,2016,15317,1,0,0,1,Metal,ForcedAir,1,Suburban,Fair,0,7.4,4,9
112,730400.0,3860,3,1.5,2,1983,11363,1,0,0,1,Tile,Baseboard,1,Suburban,Good,0,29.1,6,42
113,754200.0,3493,4,1.8,2,1995,7092,2,1,1,1,Tile,HeatPump,1,Urban,Good,1,22.1,9,30
114,836300.0,4427,4,1.5,1,2013,3866,1,0,0,1,Flat,ForcedAir,1,Suburban,Poor,1,12.7,4,12
115,533500.0,2163,1,1.6,3,1998,18017,2,0,1,1,Tile,HeatPump,0,Suburban,Good,1,3.3,10,27
116,512000.0,2781,2,3.3,1,1970,12854,1,1,0,0,Flat,ForcedAir,1,Urban,Fair,0,6.9,8,55
117,570800.0,2463,3,2.2,3,2002,9145,3,1,0,0,Metal,Baseboard,1,Suburban,Good,1,29.8,5,23
118,589200.0,2329,5,2.2,2,2011,10568,2,1,1,1,Metal,HeatPump,1,Urban,Fair,0,4.3,10,14
119,619200.0,2838,6,3.9,3,2003,13540,1,1,0,1,Metal,Radiant,1,Suburban,Good,1,7.5,7,22
120,763400.0,4102,1,2.3,3,1952,15119,3,2,0,1,Shingle,ForcedAir,1,Urban,Very Good,0,17.8,6,73
121,693100.0,3037,4,3.8,3,2002,9943,2,2,0,1,Tile,Baseboard,1,Urban,Very Good,0,12.6,9,23
122,409600.0,2106,2,1.9,0,1961,5781,2,2,0,1,Tile,HeatPump,1,Rural,Fair,1,8.3,4,64
123,965700.0,4829,5,2.2,3,1987,8774,1,0,0,1,Metal,Baseboard,1,Urban,Very Good,1,22.9,5,38
124,631800.0,3475,1,2.2,0,1967,4914,3,1,1,0,Tile,Baseboard,1,Rural,Good,0,9.1,3,58
125,531500.0,2082,4,2.6,3,1984,6396,1,2,0,0,Tile,ForcedAir,1,Urban,Good,0,21.7,9,41
126,494400.0,1509,5,2.8,3,2019,6599,1,2,0,1,Shingle,HeatPump,1,Suburban,Very Good,1,27.5,9,6
127,887800.0,4548,5,1.7,0,2020,9477,1,2,0,1,Metal,Baseboard,0,Urban,Good,0,17.4,6,5
128,448600.0,1463,4,3.4,3,1966,3103,1,2,0,1,Tile,Baseboard,1,Urban,Good,0,4.2,8,59
129,628600.0,2798,4,2.5,3,1970,13466,3,2,0,0,Metal,Radiant,0,Urban,Fair,1,26.9,9,55
130,805000.0,4245,3,1.0,0,2019,12287,1,2,0,1,Metal,HeatPump,1,Rural,Excellent,0,20.7,7,6
131,921400.0,4543,5,2.8,0,1996,13961,1,0,0,1,Tile,ForcedAir,1,Urban,Good,1,16.0,7,29
132,531600.0,2295,4,3.4,0,1986,19107,1,1,1,0,Metal,HeatPump,1,Suburban,Very Good,0,17.4,9,39
133,813000.0,4104,6,1.8,0,2003,19232,1,0,1,1,Shingle,HeatPump,0,Rural,Good,0,19.4,4,22
134,845700.0,4563,6,1.1,3,1964,11694,1,1,0,0,Shingle,Baseboard,1,Rural,Poor,0,9.5,8,61
135,536900.0,2653,1,3.4,3,1960,5059,1,1,0,0,Shingle,ForcedAir,1,Rural,Fair,1,19.1,3,65
136,503500.0,2091,2,3.9,2,1958,16767,1,0,0,1,Shingle,Baseboard,1,Urban,Very Good,0,1.6,10,67
137,883700.0,4381,6,1.2,3,2017,12911,1,1,0,0,Metal,ForcedAir,1,Urban,Very Good,1,20.5,4,8
138,778100.0,4257,3,3.8,1,1952,17751,1,2,0,1,Metal,ForcedAir,1,Urban,Poor,0,19.3,6,73
139,478900.0,2436,4,2.1,1,1962,7169,3,0,0,1,Shingle,Radiant,1,Urban,Good,0,11.3,3,63
140,831000.0,4496,2,3.8,1,1955,9560,2,2,0,1,Metal,Baseboard,0,Urban,Good,0,25.7,8,70
141,758000.0,3799,3,2.9,3,1950,13897,2,0,0,0,Shingle,Baseboard,1,Rural,Good,0,22.6,9,75
142,765000.0,3952,5,3.7,1,1954,5396,3,1,0,1,Metal,Radiant,1,Urban,Good,1,13.3,5,71
143,443300.0,1498,2,3.4,3,2015,4476,2,0,0,1,Flat,ForcedAir,1,Suburban,Fair,0,22.8,4,10
144,628000.0,2960,6,1.1,0,1990,18097,1,2,0,1,Metal,HeatPump,1,Suburban,Good,0,1.3,5,35
145,893600.0,4897,3,1.2,3,1999,11168,2,0,0,1,Flat,HeatPump,1,Suburban,Fair,0,15.7,3,26
146,348900.0,1654,4,2.6,2,1956,12808,1,2,0,0,Tile,Baseboard,1,Urban,Poor,0,12.3,5,69
147,809600.0,4274,4,1.4,3,1970,8297,1,2,0,0,Shingle,ForcedAir,1,Suburban,Fair,0,28.9,7,55
148,524200.0,2507,3,2.4,1,2002,13744,2,1,0,1,Metal,Radiant,1,Rural,Very Good,0,4.4,1,23
149,736500.0,3577,5,3.9,0,1969,18954,2,1,1,0,Flat,HeatPump,1,Suburban,Good,1,17.6,6,56
150,621000.0,2533,6,1.9,0,2014,12707,3,2,0,1,Flat,Radiant,1,Suburban,Poor,1,10.1,3,11
151,815100.0,4310,3,2.5,0,1981,15627,1,0,0,0,Flat,Radiant,1,Urban,Very Good,1,20.5,2,44
152,263800.0,1002,1,2.2,2,1955,5630,1,1,0,1,Shingle,Baseboard,0,Urban,Good,0,17.7,5,70
153,793200.0,4055,3,2.9,2,1990,11894,2,2,0,1,Flat,ForcedAir,1,Urban,Good,0,27.8,6,35
154,386600.0,1566,3,1.6,2,1982,9578,2,0,0,1,Shingle,Radiant,1,Urban,Fair,0,4.3,10,43
155,641000.0,3127,6,1.8,1,1974,10103,2,2,0,1,Shingle,Baseboard,0,Suburban,Good,0,4.8,2,51
156,675500.0,3731,4,3.6,1,1973,4529,1,1,0,1,Metal,Radiant,1,Suburban,Fair,0,22.5,3,52
157,338100.0,997,5,3.4,2,1961,18452,1,2,0,1,Tile,HeatPump,0,Urban,Good,0,11.8,9,64
158,629500.0,2730,3,3.4,3,1986,7705,3,0,0,1,Flat,HeatPump,1,Suburban,Excellent,0,22.6,7,39
159,828200.0,4382,2,3.3,2,1999,2062,1,2,0,1,Shingle,Radiant,0,Rural,Fair,0,16.8,5,26
160,324100.0,1408,4,2.4,2,1958,10871,2,0,0,1,Tile,ForcedAir,1,Suburban,Poor,0,15.6,8,67
161,814500.0,4072,4,3.2,2,2016,8235,1,1,0,1,Shingle,Radiant,0,Suburban,Good,0,8.1,9,9
162,464100.0,1947,3,2.2,0,1953,18372,1,2,1,1,Flat,Radiant,1,Rural,Fair,1,1.6,7,72
163,804100.0,4197,6,1.3,1,2003,16028,2,2,0,0,Flat,ForcedAir,1,Urban,Good,0,24.5,2,22
164,589400.0,3311,2,2.2,0,1955,5362,1,0,0,1,Flat,Radiant,1,Suburban,Good,0,9.7,3,70
165,560800.0,2594,3,1.5,3,2015,11662,3,1,0,0,Tile,Baseboard,0,Suburban,Good,0,2.0,5,10
166,309100.0,1459,2,2.2,3,1986,7156,2,1,0,1,Flat,ForcedAir,1,Suburban,Good,0,8.7,2,39
167,727400.0,3611,4,1.9,1,1994,13774,1,2,0,1,Shingle,ForcedAir,1,Rural,Good,0,7.7,3,31
168,423400.0,2169,2,2.8,3,1963,6761,1,1,0,1,Metal,Radiant,0,Urban,Good,0,10.8,1,62
169,567100.0,2786,3,2.1,0,1992,12850,1,1,0,0,Shingle,Baseboard,0,Suburban,Good,1,6.9,1,33
170,289400.0,946,1,3.1,0,2015,7488,2,1,0,0,Flat,Baseboard,1,Urban,Very Good,0,26.7,9,10
171,707200.0,4019,1,2.5,0,1956,14809,1,1,0,1,Shingle,ForcedAir,0,Suburban,Good,0,9.0,4,69
172,778900.0,3711,2,3.8,3,2004,2541,1,0,0,1,Flat,HeatPump,1,Rural,Good,1,6.5,5,21
173,584700.0,2534,6,1.3,2,1986,19994,2,2,0,1,Shingle,Radiant,1,Suburban,Good,0,15.4,10,39
174,554400.0,2643,3,3.1,0,1965,13919,3,0,0,1,Metal,Baseboard,0,Rural,Good,0,24.1,1,60
175,386800.0,1288,5,3.0,0,1966,6213,1,1,0,1,Flat,ForcedAir,0,Rural,Good,0,22.2,8,59
176,746600.0,3776,1,3.9,2,2020,3575,2,2,0,0,Shingle,ForcedAir,1,Rural,Fair,0,29.6,1,5
177,593500.0,2759,4,2.1,2,1950,18384,2,1,0,1,Shingle,Baseboard,1,Suburban,Very Good,0,1.9,9,75
178,650500.0,3185,3,1.9,1,1951,8918,2,1,0,1,Shingle,Baseboard,1,Suburban,Very Good,1,29.5,10,74
179,738600.0,3719,3,1.5,3,1982,18680,2,0,0,1,Flat,Baseboard,1,Suburban,Good,0,27.9,8,43
180,558400.0,2602,1,1.8,0,1962,12563,3,0,0,1,Tile,HeatPump,1,Suburban,Very Good,0,5.4,9,63
181,922500.0,4861,5,2.5,1,2014,11488,1,0,0,1,Flat,Baseboard,1,Rural,Fair,1,24.4,2,11
182,807700.0,4169,4,3.5,3,2000,16823,1,1,1,1,Flat,Radiant,1,Suburban,Poor,0,23.4,2,25
183,323900.0,1062,5,1.9,1,1982,19800,2,0,0,0,Flat,Radiant,1,Rural,Poor,0,28.3,6,43
184,397200.0,1423,4,1.5,3,1952,7770,1,0,0,1,Metal,Radiant,0,Suburban,Very Good,0,1.1,9,73
185,413900.0,1816,1,1.8,0,2009,16930,2,1,0,0,Flat,Radiant,1,Urban,Good,0,12.6,3,16
186,856000.0,4443,3,1.3,1,1993,18462,2,1,0,1,Tile,Baseboard,0,Urban,Excellent,1,23.1,3,32
187,620500.0,2849,4,3.8,3,1954,17790,1,0,1,0,Flat,Radiant,1,Suburban,Very Good,0,9.3,5,71
188,923200.0,4523,3,3.6,3,1996,17904,2,1,0,1,Shingle,Baseboard,1,Suburban,Excellent,0,19.9,8,29
189,798600.0,3908,2,1.9,3,1992,4689,1,2,0,1,Metal,HeatPump,1,Urban,Good,0,27.8,4,33
190,903000.0,4890,2,1.7,2,1996,6097,1,0,1,1,Flat,Radiant,0,Suburban,Fair,1,1.7,7,29
191,586900.0,2856,1,3.7,3,1955,3083,2,2,0,1,Metal,HeatPump,1,Rural,Good,0,3.5,10,70
192,736400.0,3970,1,1.0,2,2009,16457,2,2,0,1,Metal,Baseboard,0,Suburban,Poor,0,2.2,5,16
193,518900.0,2482,6,2.8,0,1985,17441,2,0,0,1,Shingle,Radiant,0,Suburban,Good,0,22.4,3,40
194,585200.0,3055,1,3.7,1,1986,5796,1,1,0,1,Shingle,Radiant,1,Suburban,Fair,0,26.9,6,39
195,403000.0,1954,2,2.5,0,1955,16914,1,0,0,1,Shingle,Radiant,0,Urban,Very Good,0,26.8,1,70
196,837600.0,3991,4,1.0,2,1979,12213,1,2,0,1,Tile,ForcedAir,0,Rural,Good,1,3.7,5,46
197,519700.0,2496,5,1.7,0,1959,3184,1,2,0,1,Shingle,ForcedAir,1,Suburban,Poor,1,6.0,3,66
198,897500.0,4791,1,3.8,2,1977,3249,1,2,0,1,Shingle,ForcedAir,0,Urban,Very Good,1,7.1,5,48
199,541000.0,2448,5,1.1,2,1955,17148,2,2,0,1,Shingle,HeatPump,1,Urban,Very Good,1,19.0,5,70
200,609900.0,2245,5,2.2,3,2022,18565,2,1,0,1,Tile,HeatPump,1,Suburban,Excellent,1,23.4,9,3
201,934500.0,4999,2,3.4,2,1973,11530,1,1,1,1,Flat,HeatPump,1,Urban,Poor,1,18.7,9,52
202,981100.0,4723,6,3.5,3,2001,18903,1,0,0,1,Flat,HeatPump,1,Urban,Good,0,13.0,9,24
203,337800.0,1053,4,2.4,1,2017,8513,1,0,0,0,Flat,Baseboard,1,Suburban,Good,0,21.5,3,8
204,786300.0,3983,2,1.7,3,1994,9950,2,0,1,1,Flat,Radiant,1,Suburban,Good,0,19.3,2,31
205,696600.0,3357,1,2.8,3,1976,8782,2,2,0,1,Metal,Radiant,0,Rural,Good,0,22.3,9,49
206,316200.0,898,2,1.8,3,2017,3694,2,2,0,0,Tile,ForcedAir,0,Rural,Good,0,16.0,2,8
207,600200.0,3000,2,1.8,3,1962,6671,1,1,0,1,Shingle,Radiant,0,Suburban,Good,0,17.8,7,63
208,709400.0,3761,2,3.4,1,1968,14292,2,0,0,0,Tile,ForcedAir,1,Suburban,Fair,0,21.4,9,57
209,839600.0,4577,1,1.5,1,1982,3193,2,1,0,0,Tile,ForcedAir,0,Urban,Fair,1,20.3,7,43
210,638900.0,3669,1,1.0,1,1962,12125,1,0,0,1,Tile,Radiant,0,Rural,Fair,1,22.2,6,63
211,720200.0,4034,2,2.0,2,1956,7132,2,2,0,0,Metal,ForcedAir,1,Suburban,Good,0,5.4,5,69
212,904800.0,4591,2,2.5,2,1982,11007,1,2,0,1,Flat,ForcedAir,1,Suburban,Good,1,14.8,7,43
213,486700.0,1756,5,3.1,3,1981,19619,1,1,0,1,Tile,ForcedAir,0,Suburban,Good,0,19.7,10,44
214,917100.0,4867,4,3.3,3,1994,13166,2,0,1,1,Shingle,Radiant,1,Urban,Good,0,14.4,3,31
215,287400.0,960,5,3.0,2,2005,16371,1,1,0,0,Shingle,HeatPump,1,Suburban,Good,0,14.4,1,20
216,505700.0,2100,6,2.9,3,2021,4276,2,0,0,1,Shingle,Baseboard,0,Urban,Good,0,23.9,1,4
217,946600.0,4787,4,3.0,1,1995,16974,2,0,0,1,Metal,Radiant,1,Urban,Good,0,22.4,10,30
218,540500.0,2327,6,1.8,0,1968,4652,1,2,0,0,Shingle,HeatPump,1,Suburban,Very Good,1,26.7,10,57
219,482300.0,2018,4,2.1,3,1983,11306,2,0,1,1,Flat,Baseboard,1,Rural,Good,1,1.1,3,42
220,771600.0,3904,2,2.8,0,2012,5843,1,0,0,1,Tile,ForcedAir,1,Urban,Poor,1,25.7,4,13
